Porosity,Permeability_1,Permeability_2,Permeability_3,Error
1.937017e-01,1.290231e-13,6.058507e-13,5.821615e-13,2.282471e-05
1.958152e-01,6.006552e-14,7.757385e-13,2.542448e-13,4.288492e-05
1.721746e-01,9.682570e-13,5.281204e-13,3.804112e-13,6.382412e-04
1.957282e-01,7.903931e-13,6.049732e-13,1.768241e-13,5.455835e-04
1.074429e-01,8.125751e-13,5.721186e-13,1.057789e-13,4.929199e-04
2.813178e-01,6.722438e-13,5.845289e-13,7.669354e-14,5.325194e-04
1.548959e-01,2.562506e-13,4.308721e-13,4.805761e-13,1.087348e-04
2.769442e-01,8.323792e-13,1.255444e-13,6.435665e-13,6.770457e-04
1.315578e-01,1.085735e-13,6.124897e-13,6.613905e-13,4.289374e-05
1.906226e-01,2.738947e-13,6.311046e-13,6.768298e-13,1.325402e-04
1.218452e-01,5.827620e-13,2.152759e-13,6.847043e-13,3.336558e-04
2.479622e-01,6.162275e-13,1.873313e-13,6.810580e-13,4.595816e-04
1.926022e-01,6.677790e-13,3.314480e-13,6.041691e-13,4.470107e-04
1.852215e-01,5.167966e-13,2.718286e-13,4.389358e-14,3.247337e-04
1.508814e-01,1.418880e-13,2.275907e-13,7.152084e-13,4.013293e-05
1.851773e-01,4.054756e-13,2.330594e-13,1.169890e-13,2.361883e-04
2.416792e-01,4.360486e-13,8.280169e-13,5.726785e-13,2.899445e-04
2.496480e-01,1.490995e-13,2.543912e-14,2.521124e-13,4.379314e-05
2.266333e-01,3.147001e-13,2.651743e-13,9.259783e-13,1.790113e-04
2.128090e-01,2.900239e-13,1.265966e-13,4.664125e-13,1.525852e-04
2.114510e-01,1.666731e-13,5.162680e-13,3.392352e-13,5.017560e-05
2.900199e-01,6.568676e-13,6.038928e-13,1.309112e-13,5.187804e-04
2.242527e-01,6.796130e-13,1.561549e-13,5.464612e-13,4.891026e-04
2.265336e-01,9.240339e-13,7.296782e-13,2.982924e-13,6.974388e-04
1.730570e-01,3.737450e-13,5.370192e-13,1.371537e-13,1.959822e-04
2.481022e-01,4.917312e-13,2.181278e-13,6.837048e-13,3.488042e-04
2.290209e-01,4.340781e-13,6.888165e-13,3.661107e-13,2.808627e-04
1.893440e-01,2.761991e-14,8.073763e-14,2.503748e-13,6.770080e-05
1.240538e-01,8.190667e-13,4.564524e-14,4.040522e-13,5.016191e-04
1.556504e-01,7.917550e-13,6.079465e-13,2.369030e-13,5.013765e-04
1.780484e-01,3.614923e-13,5.929467e-13,7.645116e-13,1.894459e-04
1.503775e-01,9.107954e-13,8.108585e-14,1.368432e-13,5.646963e-04
1.458425e-01,2.910986e-13,8.978395e-13,7.500480e-13,1.294602e-04
2.598849e-01,5.818829e-14,7.171017e-13,8.986062e-13,3.717555e-05
2.535357e-01,1.555898e-13,3.277189e-13,7.289460e-13,4.975704e-05
2.462578e-01,1.563100e-13,9.219363e-13,4.959741e-13,4.936899e-05
1.264132e-01,1.807223e-13,2.166475e-13,8.134053e-13,6.592917e-05
1.993875e-01,5.822284e-13,7.789824e-13,9.704133e-14,3.796147e-04
1.193793e-01,4.167441e-13,3.226823e-13,7.348342e-13,2.191880e-04
1.561205e-01,8.165594e-13,9.812951e-14,9.046628e-13,5.202459e-04
2.866081e-01,3.933068e-14,5.255364e-13,9.460243e-13,5.301378e-05
1.674015e-01,4.547097e-13,9.737901e-13,6.080261e-14,2.541666e-04
1.160885e-01,9.240369e-13,7.907515e-13,7.798427e-13,5.635429e-04
2.871901e-01,2.619929e-13,2.719881e-13,2.349399e-13,1.534059e-04
1.056683e-01,2.831311e-14,1.580434e-13,2.548864e-13,7.562875e-05
2.095071e-01,7.829742e-13,3.681187e-13,5.006969e-14,5.510263e-04
1.747513e-01,6.177534e-13,4.025781e-13,9.385242e-13,3.788444e-04
2.113514e-01,3.728738e-13,6.884536e-13,8.385256e-13,2.188357e-04
2.757069e-01,5.143396e-14,3.269766e-13,5.447889e-13,4.218996e-05
1.692087e-01,9.982347e-13,2.002181e-13,9.980701e-13,6.579811e-04
1.948188e-01,4.871523e-13,3.572592e-13,3.065657e-13,3.028137e-04
